Field name;Area;Status;Disc. year;Orig. res.;Rem. res.;Prod. start;Operator
OSEBERG;North Sea;Producing;1979;567,13;86,51;01.12.1988;Equinor Energy AS
OSEBERG SOR;North Sea;Producing;1984;101,47;27,51;05.02.2000;Equinor Energy AS
OSEBERG OST;North Sea;Producing;1981;24,9;1,34;03.05.1999;Equinor Energy AS
OSELVAR;North Sea;Shut down;1991;1,12;0;14.04.2012;null
REV;North Sea;Producing;2001;3,66;0,03;24.01.2009;Repsol Norge AS
RINGHORNE OST;North Sea;Producing;2003;14,95;1,52;19.03.2006;VOr Energi ASA
SIGYN;North Sea;Producing;1982;20,59;1,09;22.12.2002;Equinor Energy AS
SINDRE;North Sea;Producing;2017;0,19;0,18;26.05.2017;Equinor Energy AS
SKARV;Norwegian Sea;Producing;1998;109,33;49,36;01.01.2013;Aker BP ASA
SKIRNE;North Sea;Producing;1990;12,98;0,08;03.03.2004;TotalEnergies EP Norge AS
SKOGUL;North Sea;Producing;2010;1,84;0,74;11.03.2020;Aker BP ASA
SKULD;Norwegian Sea;Producing;2008;7,25;2,15;19.03.2013;Equinor Energy AS
SLEIPNER VEST;North Sea;Producing;1974;207,96;9;29.08.1996;Equinor Energy AS
SLEIPNER OST;North Sea;Producing;1981;122,79;1,26;24.08.1993;Equinor Energy AS
SNORRE;North Sea;Producing;1979;320,9;73,8;03.08.1992;Equinor Energy AS
SNOHVIT;Barents Sea;Producing;1984;251,38;172,8;21.08.2007;Equinor Energy AS
SOLVEIG;North Sea;Producing;2013;9,22;9,03;29.09.2021;Lundin Energy Norway AS
STATFJORD;North Sea;Producing;1974;716,74;16,97;24.11.1979;Equinor Energy AS
STATFJORD NORD;North Sea;Producing;1977;48,22;4,69;23.01.1995;Equinor Energy AS
STATFJORD OST;North Sea;Producing;1976;50,71;4,71;24.09.1994;Equinor Energy AS
SVALIN;North Sea;Producing;1992;9,93;2,77;24.03.2014;Equinor Energy AS
SYGNA;North Sea;Producing;1996;11,52;0,54;01.08.2000;Equinor Energy AS
TAMBAR;North Sea;Producing;1983;15,49;1,11;15.07.2001;Aker BP ASA
TAMBAR OST;North Sea;Producing;2007;0,43;0,07;02.10.2007;Aker BP ASA
TOMMELITEN GAMMA;North Sea;Shut down;1978;14,64;0;03.10.1988;ConocoPhillips Skandinavia AS
TOR;North Sea;Producing;1970;45,91;7,4;03.12.2020;ConocoPhillips Skandinavia AS
TORDIS;North Sea;Producing;1987;76,56;5,07;03.06.1994;Equinor Energy AS
TRESTAKK;Norwegian Sea;Producing;1986;7,69;5,18;16.07.2019;Equinor Energy AS
TROLL;North Sea;Producing;1979;1770,83;707,02;19.09.1995;Equinor Energy AS
TROLL BRENT B;North Sea;Shut down;2005;null;null;null;Equinor Energy AS
TRYM;North Sea;Producing;1990;6,07;0,67;12.02.2011;DNO Norge AS
TUNE;North Sea;Producing;1995;22,5;0,15;28.11.2002;Equinor Energy AS
TYRIHANS;Norwegian Sea;Producing;1983;94,87;34,9;08.07.2009;Equinor Energy AS
ULA;North Sea;Producing;1976;90,46;4,47;06.10.1986;Aker BP ASA
URD;Norwegian Sea;Producing;2000;9,46;1,62;08.11.2005;Equinor Energy AS
UTGARD;North Sea;Producing;1982;1,61;0;16.09.2019;Equinor Energy AS
VALE;North Sea;Producing;1991;5,55;0,43;31.05.2002;Spirit Energy Norway AS
VALEMON;North Sea;Producing;1985;21,41;7,01;03.01.2015;Equinor Energy AS
VALHALL;North Sea;Producing;1975;195,19;39,4;02.10.1982;Aker BP ASA
VARG;North Sea;Shut down;1984;16,69;0;22.12.1998;Chrysaor Norge AS
VEGA;North Sea;Producing;1981;49,75;18,34;02.12.2010;Wintershall Dea Norge AS
VESLEFRIKK;North Sea;Shut down;1981;64,22;0,01;26.12.1989;Equinor Energy AS
VEST EKOFISK;North Sea;Shut down;1970;40,84;0;31.05.1977;ConocoPhillips Skandinavia AS
VIGDIS;North Sea;Producing;1986;79,96;9,96;28.01.1997;Equinor Energy AS
VILJE;North Sea;Producing;2003;15,6;2,27;01.08.2008;Aker BP ASA
VISUND;North Sea;Producing;1986;117,33;39,14;21.04.1999;Equinor Energy AS
VISUND SOR;North Sea;Producing;2008;10,05;0,71;22.11.2012;Equinor Energy AS
VOLUND;North Sea;Producing;1994;14,34;1,33;10.09.2009;Aker BP ASA
VOLVE;North Sea;Shut down;1993;11,37;0;12.02.2008;Lundin Energy Norway AS
YME;North Sea;Producing;1987;17,64;9,7;25.10.2021;Repsol Norge AS
YTTERGRYTA;Norwegian Sea;Shut down;2007;2,75;0;05.01.2009;Equinor Energy AS
OSGARD;Norwegian Sea;Producing;1981;442,8;46,93;19.05.1999;Equinor Energy AS
ORFUGL NORD;Norwegian Sea;Producing;2012;3,12;2,98;05.11.2021;Aker BP ASA
OST FRIGG;North Sea;Shut down;1973;9,29;0;01.10.1988;Aker BP ASA
